id,fen,plies
KBNKNN,3n4/8/8/3B4/8/8/8/k1KNn3 w - - ,213
KBNKBN,8/8/8/8/8/1B6/6n1/k2NKb2 w - - ,213
KBNKRN,8/8/8/8/8/1B6/6n1/k2NKr2 w - - ,213
KBNKQN,8/8/8/8/8/1B6/6n1/k2NKq2 w - - ,213
KBNKBB,6B1/7b/8/8/6N1/3k4/8/1Kb5 w - - ,79
KBNKRB,6B1/7r/8/8/6N1/3k4/8/1Kb5 w - - ,79
KBNKQB,6B1/7q/8/8/6N1/3k4/8/1Kb5 w - - ,79
KBNKRR,8/8/8/8/3N4/1r6/7B/K1kr4 w - - ,71
KBNKQR,8/8/8/8/3N4/1q6/7B/K1kr4 w - - ,71
KBNKQQ,8/8/8/8/3N4/1q6/7B/K1kq4 w - - ,71
KRRRNK,8/8/5RR1/5KR1/8/2N5/8/k7 w - - ,9
KQRRNK,8/QR6/RK6/N7/8/8/8/3k4 w - - ,9
KRRNKN,8/8/4R3/2n5/8/1K6/3kN3/4R3 w - - ,65
KRRNKB,8/8/8/2R5/1R3K2/8/3b4/3kN3 w - - ,55
KRRNKR,8/8/8/8/7K/1RN4r/5R2/k7 w - - ,89
KRRNKQ,2q5/K6R/8/8/8/5R2/8/3k3N w - - ,215
KQQRNK,8/6Q1/5Q2/4KR2/8/2N5/8/k7 w - - ,7
KQRNKN,8/8/4Q3/2n5/8/1K6/3kN3/4R3 w - - ,65
KQRNKB,8/4b3/8/2K5/8/Q7/2Nk4/2R5 w - - ,53
KQRNKR,8/8/8/8/1R6/1Q6/2Kr1N2/k7 w - - ,87
KQRNKQ,8/RN6/8/8/8/5q2/2k5/Q6K w - - ,153
KRNKNN,6N1/5KR1/2n5/8/8/8/2n5/1k6 w - - ,523
KRNKBN,5RbN/8/7n/8/8/8/8/2k2K2 w - - ,417
KRNKRN,7n/8/5R2/8/3r4/8/8/k2K3N w - - ,103
KRNKQN,8/8/8/7n/q7/N7/R7/3k1K2 w - - ,83
KRNKBB,5b2/8/3R4/8/5b2/6N1/8/1k4K1 w - - ,303
KRNKRB,8/8/8/8/r7/8/3K4/kNRb4 w - - ,73
KRNKQB,8/8/1R6/KN6/3b4/q7/8/1k6 w - - ,63
KRNKRR,8/8/8/8/N2K4/8/R7/r1k1r3 w - - ,73
KRNKQR,8/8/8/8/N2K4/8/R7/q1k1r3 w - - ,73
KRNKQQ,8/8/8/8/qR6/4q3/3N4/k6K w - - ,39
KQQQNK,7Q/6Q1/5Q2/4K3/8/2N5/8/k7 w - - ,7
KQQNKN,N6K/5n2/2Q5/4Q3/8/8/3k4/8 w - - ,25
KQQNKB,3Q4/8/8/8/8/2b5/Q1N5/K1k5 w - - ,27
KQQNKR,N7/8/8/8/8/1Q6/2Q5/k4rK1 w - - ,91
KQQNKQ,1Q6/8/8/7Q/8/K4N2/8/q2k4 w - - ,89
KQNKNN,8/5n1Q/3n4/8/2N5/2k2K2/8/8 w - - ,135
KQNKBN,8/8/8/2N5/3b4/1Q6/3kn3/K7 w - - ,105
KQNKRN,1n2Q3/8/K7/8/8/8/2rN4/2k5 w - - ,137
KQNKQN,1q6/7n/7Q/8/8/4K3/8/3kN3 w - - ,85
